Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question 1,1. What is the minimum pressure required in a compression molding process?,a) 0.5 MPa,b) 1 MPa,c) 1.5 MPa,d) 2 MPa,a,"Explanation: Processing of thermosetting plastics is classified as, compression molding and transfer molding. The minimum pressure that is required for the complete operation of compression molding is 0.5 MPa. "
Question 2,2. What is the minimum temperature required in a compression molding process?,a) 120°C,b) 125°C,c) 130°C,d) 135°C,b,Explanation: None.
Question 3,3. What is the maximum pressure required in a compression molding process?,a) 35 MPa,b) 40 MPa,c) 45 MPa,d) 50 MPa,d,Explanation: The maximum pressure that is required for the complete operation of compression molding is 50 MPa. 
Question 4,4. What is the maximum temperature required in a compression molding process?,a) 240°C,b) 245°C,c) 250°C,d) 255°C,c,"Explanation: Processing of thermosetting plastics is classified as, compression molding and transfer molding. The maximum temperature that is required for the complete operation of compression molding is 250°C. "
Question 5,"5. In compression molding, the curing time does not depend on which of the following factors?",a) Material,b) Curing temperature,c) Geometry,d) Thickness,b,"Explanation: When there has to be molding done for thermosetting materials, mainly compression molding is preferred. While doing this, curing has to be done. The time needed for curing depends on the material used, geometry and thickness of the material. "
Question 6,6. What is the maximum curing time required in a compression molding process?,a) 2 minutes,b) 3 minutes,c) 4 minutes,d) 5 minutes,d,Explanation: The maximum curing time that is required for the complete operation of compression molding is 5 minutes. 
Question 7,7. What is the minimum curing time required in a compression molding process?,a) 0.4 minutes,b) 0.5 minutes,c) 0.6 minutes,d) 0.7 minutes,b,Explanation: The minimum curing time that is required for the complete operation of compression molding is 0.5 minutes. 
Question 8,8. What is the maximum pressure required in a transfer molding process?,a) 80 MPa,b) 90 MPa,c) 100 MPa,d) 120 MPa,c,"Explanation: Processing of thermosetting plastics is classified as, compression molding and transfer molding. The maximum pressure that is required for the complete operation of transfer molding is 100 MPa. "
Question 9,9. What is the minimum pressure required in a transfer molding process?,a) 20 MPa,b) 40 MPa,c) 50 MPa,d) 70 MPa,a,Explanation: The maximum pressure that is required for the complete operation of transfer molding is 20 MPa. 
Question 10,3. Which of the following types of molecular structure present in thermosetting polymers?,a) Linear polymers,b) Branched polymers,c) Cross-linked polymers,d) Network polymers,c,"Explanation: Cross-linked polymers are described by adjacent linear chains that are brought one to another at several locations by covalent bonds. Cross linking is completed by a non-reversible chemical reaction. Often, cross-linking is finished by additive atoms which are covalently bonded to the chains in the thermosetting polymers."
Question 11,1. How is the die used in injection molding cooled?,a) Oil,b) Air,c) Water,d) Contact with cold surface,c,"Explanation: When it comes to molding of polymers in thermoplastics, injection molding process is the most common of the methods. In this method, whenever the die has to be cooled, there is water used to cool it."
Question 12,2. How does the piston in the clamping unit move?,a) Hydraulic energy,b) Pneumatic energy,c) Heat energy,d) Suction,a,Explanation: There is a clamping unit employed for holding the two halves together and for the opening and closing of the mold. A moving piston is provided which operates the power press. This piston works on hydraulic energy.
Question 13,3. Where does the granular molding material get loaded into?,a) Barrel,b) Hopper,c) Pellets,d) Split,b,"Explanation: In a ram or plunger type injection molding system, the granular molding material has to be first loaded into a hopper, after which, with the help of a feeding device it gets metered out inside a cylinder."
Question 14,4. Which of the following material is not made by injection molding?,a) Nuts,b) Tubes,c) Car handles,d) Electrical fittings,b,"Explanation: Injection molding is one of the most widely used method of molding among molding with polymers. There are various applications of this method such as, nuts, bolts, cups, car handles, electrical fitting parts, but not tubes and rods."
Question 15,5. What is the minimum temperature allowed to be given to the injection molding process?,a) 120°C,b) 130°C,c) 140°C,d) 150°C,d,"Explanation: In the molding process of polymers in thermoplastics, injection molding process is the most common of the methods. The minimum allowable temperature that can be given to the system is 150°C."
Question 16,6. Which of the following factors is not considered in a ram type injection molding?,a) Inner pressure of material,b) Outer pressure of material,c) Volume of material,d) Temperature of material,c,"Explanation: Among the following, the inner pressure of the material, the outer pressure of the material as well as the mold and the temperature of the material and mold are important factors to be considered. The volume of material is not counted among important factors."
Question 17,7. What is the minimum pressure allowed to be given to the injection molding process?,a) 90 MPa,b) 100 MPa,c) 140 MPa,d) 170 MPa,b,Explanation: None.
Question 18,8. What is the maximum temperature allowed to be given to the injection molding process?,a) 300°C,b) 320°C,c) 350°C,d) 400°C,a,"Explanation: The maximum allowable temperature that can be given to the system is 300°C, in this particular method of molding."
