Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question 1,1. The literature of heat transfer generally recognizes distinct modes of heat transfer. How many modes are there?,a) One,b) Two,c) Three,d) Four,c,"Explanation: There are three modes of heat transfer i.e. radiation, convection and conduction. "
Question 2,3. An oil cooler in a high performance engine has an outside surface area 0.12 m2 and a surface temperature of 65 degree Celsius. At any intermediate time air moves over the surface of the cooler at a temperature of 30 degree Celsius and gives rise to a surface coefficient equal to 45.4 W/ m 2 K. Find out the heat transfer rate?,a) 238.43 W,b) 190.68 W,c) 543.67 W,d) 675.98 W,b,Explanation: Q = (T2 – T1) A h = 0.12 (65-30) 45.4 = 190.68 W. 
Question 3,4. Unit of the rate of heat transfer is,a) Joule,b) Newton,c) Pascal,d) Watt,d,Explanation: Unit of heat transfer is Joule but the rate of heat transfer is joule per second i.e. watt. 
Question 4,5. Convective heat transfer coefficient doesn’t depend on,a) Surface area,b) Space,c) Time,d) Orientation of solid surface,a,"Explanation: It is denoted by h and is dependent on space, time, geometry, orientation of solid surface. "
Question 5,6. The rate equation used to describe the mechanism of convection is called Newton’s law of cooling. So rate of heat flow by convection doesn’t depend on,a) Convective heat transfer coefficient,b) Surface area through which heat flows,c) Time,d) Temperature potential difference,c,Explanation: It is directly proportional to all of above except time. 
Question 6,7. How many types of convection process are there?,a) One,b) Three,c) Four,d) Two,b,"Explanation: Forced, natural and mixed convection. "
Question 7,8. Thermal conductivity is maximum for which substance,a) Silver,b) Ice,c) Aluminum,d) Diamond,d,Explanation: Thermal conductivity of diamond is 2300 W/m K. 
Question 8,9. A radiator in a domestic heating system operates at a surface temperature of 60 degree Celsius. Calculate the heat flux at the surface of the radiator if it behaves as a black body,a) 697.2 W/m2,b) 786.9 W/m2,c) 324.7 W/m2,d) 592.1 W/m2,a,"Explanation: As, q = Q/A = 5.67 * 10-8 (273+60)4 = 697.2. "
Question 9,10. Which of the following is an example of forced convection?,a) Chilling effect of cold wind on a warm body,b) Flow of water in condenser tubes,c) Cooling of billets in the atmosphere,d) Heat exchange on cold and warm pipes,b,"Explanation: In forced convection, the flow of fluid is caused by a pump, fan or by atmospheric winds. "
Question 10,"1. Regarding one dimensional heat transfer, choose the correct statement","a) Steady- f (x), Unsteady- f (x, t)","b) Steady- f (x, t), Unsteady- f (x)","c) Steady- f (x, y, t), Unsteady- f (x)","d) Steady- f (y, z), Unsteady- f (y)",d,Explanation: In case of one dimensional heat flow steady state is a function of x coordinate only while unsteady state is a function of x coordinate and time only. 
Question 11,2. Which statement is true regarding steady state condition?,a) There is a variation in temperature in the course of time,b) Heat exchange is constant,c) It is a function of space and time coordinates,d) Internal energy of the system changes,b,Explanation: Heat influx is always equal to heat efflux. It is a function of space coordinates only. 
Question 12,3. Which of the following is an example of steady state heat transfer?,a) Boilers and turbines,b) Cooling of I.C engine,c) Chilling effect of cold wind on a warm body,d) Electric bulb cools down by the surrounding atmosphere,d,Explanation: System is a perfect black body. 
Question 13,"4. Heat transfer in a long, hollow cylinder which is maintained at uniform but different temperatures on its inner and outer surfaces may be assumed to be taking place in which direction?",a) Axial only,b) Unpredictable,c) Radial only,d) No heat transfer takes place,c,Explanation: Ambient temperature is uniform on the periphery of cylinder and temperature is uniform. So it takes place in the radial direction only. 
Question 14,5. Heat transfer takes place according to which law?,a) Newton’s law of cooling,b) Second law of thermodynamics,c) Newton’s second law of motion,d) First law of thermodynamics,b,Explanation: Second law states about heat transfer between source and sink. 
Question 15,6. Heat transfer takes place in liquids and gases is essentially due to,a) Radiation,b) Conduction,c) Convection,d) Conduction as well as convection,c,Explanation: Convection is a process by which thermal energy is transferred between solid and fluid flowing through it. 
Question 16,7. The appropriate rate equation for convective heat transfer between a surface and adjacent fluid is prescribed by,a) Newton’s first law,b) Wein’s displacement law,c) Kirchhoff’s law,d) Newton’s law of cooling,d,Explanation: The rate equation used to describe the mechanism of convection is called Newton’s law of cooling when the solid surface is cooled by the fluid.
Question 17,8. Identify the wrong statement,a) The process of heat transfer is an irreversible process,"b) For heat exchange, a temperature gradient must exist",c) A material medium is not necessary for heat transmission,d) Heat flow doesn’t depend on temperature,d,Explanation: Heat flows from higher to lower temperature. 
Question 18,"9. During a cold winter season, a person prefers to sit near a fire. Which of the following modes of heat transfer provides him the maximum heat?",a) Conduction from the fire,"b) If it is near the fire, convection sounds good",c) Convection and radiation together,d) Radiation will provide quick warmth,d,Explanation: Heat transfer by radiation can occur between two bodies even when they are separated by a medium colder than both of them. 
Question 19,10. Most unsteady heat flow occurs,a) Through the walls of the refrigerator,b) During annealing of castings,c) Through the walls of the furnace,d) Through lagged pipe carrying steam,b,"Explanation: Under steady state condition, with time there is a change in temperature i.e. temperature field is a function of space and time. "
Question 20,1. The famous Fourier series is named after,a) Diller and Ryan,b) J.B. Joseph Fourier,c) Stefan- Boltzmann,d) Wein’s,b,Explanation: He gave this theory in 1824.
Question 21,2. Fourier law of heat conduction is best represented by,a) Q = -k A d t /d x,b) Q = k A d x/d t,c) Q = -k A,d) Q = k d t/d x,a,"Explanation: According to Fourier law of heat conduction, Q = -k A d t /d x."
Question 22,3. Here are some assumptions that are made for Fourier law. Identify the wrong one,a) No internal heat generation,b) Steady state heat conduction,c) Non- linear temperature profile,d) Isotropic and homogenous material,c,Explanation: It has constant temperature gradient and a linear temperature profile.
Question 23,4. Consider the following statements:,The Fourier heat conduction equation,Q = -k A d t /d x,Presumes,i) Steady state conditions,d,Explanation: Thermal conductivity is different for different materials.
Question 24,6. Negative sign in Fourier heat conduction equation indicates,a) Heat always flow is in the direction of positive temperature gradient,b) Heat always flow in the direction of negative temperature gradient,c) No heat flow is there,d) Data is insufficient,b,Explanation: The ratio d t/d x represents the change in temperature per unit thickness i.e. the temperature gradient. So it represents heat flow in the direction of negative temperature gradient.
Question 25,7. Transmission of heat i.e. molecular is smallest in case of,a) Gases,b) Liquids,c) Alloys,d) Solids,a,"Explanation: In gases, atoms are arranged loosely, there is less molecular transmission of heat as compared to solids, liquids and alloys."
Question 26,8. Which one is not the unit of thermal conductivity?,a) kcal/m hr K,b) KJ/m hr K,c) W/m s K,d) Cal/cm s K,c,Explanation: The unit kcal/m hr K could also be specified as J/m s K or W/m s K and this is actually done while quoting the numerical values of thermal conductivity.
Question 27,10. Which of the following is the unit of thermal resistance?,a) degree/kcal,b) hour degree,c) s degree/kcal,d) degree/W,d,"Explanation: Thermal resistance is expressed in the unit’s hr degree/kcal, degree/W and s degree/J."
Question 28,1. Thermal conductivity is defined as the heat flow per unit time,a) When the temperature gradient is unity,b) Across the wall with no temperature,c) Through a unit thickness of the wall,d) Across unit area where the temperature gradient is unity,d,Explanation: Thermal conductivity of a material is because of migration of free electrons and lattice vibrational waves.
Question 29,2. Mark the matter with least value of thermal conductivity,a) Air,b) Water,c) Ash,d) Window glass,a,"Explanation: For air, it is .024 W/ m degree i.e. lowest."
Question 30,3. Which one of the following forms of water have the highest value of thermal conductivity?,a) Boiling water,b) Steam,c) Solid ice,d) Melting ice,c,"Explanation: For ice, it is 2.25 W/m degree i.e. maximum."
Question 31,4. The average thermal conductivities of water and air conform to the ratio,a) 50:1,b) 25:1,c) 5:1,d) 15:1,b,"Explanation: For water, it is 0.55-0.7 W/m degree and for air it is .024 W/m degree."
Question 32,5. Identify the very good insulator,a) Saw dust,b) Cork,c) Asbestos sheet,d) Glass wool,d,Explanation: Glass wool has a lowest thermal conductivity of 0.03 W/m degree amongst given option.
Question 33,6. Most metals are good conductor of heat because of,a) Transport of energy,b) Free electrons and frequent collision of atoms,c) Lattice defects,d) Capacity to absorb energy,b,"Explanation: For good conductors, there must be electrons that are free to move."
Question 34,7. Heat conduction in gases is due to,a) Elastic impact of molecules,b) Movement of electrons,c) EM Waves,d) Mixing of gases,a,Explanation: If there is elastic collision then after sometime molecules regain its natural position.
Question 35,8. The heat energy propagation due to conduction heat transfer will be minimum for,a) Lead,b) Water,c) Air,d) Copper,c,Explanation: It is because air has lowest value of thermal conductivity amongst given options.
Question 36,9. Cork is a good insulator because,a) It is flexible,b) It can be powdered,c) Low density,d) It is porous,d,Explanation: Cork has thermal conductivity in the range of 0.05-0.10 which is very low so it can be porous.
Question 37,10. Choose the false statement,a) For pure metal thermal conductivity is more,b) Thermal conductivity decreases with increase in the density of the substance,c) Thermal conductivity of dry material is lower than that of damp material,d) Heat treatment causes variation in thermal conductivity,b,Explanation: Thermal conductivity increase with increase in the density of a substance.
Question 38,"1. From the concept of kinetic theory, mean travel velocity of the gas molecules is prescribed by the relation",a) V = (3M/GT) 1/2,b) V = (3GT/M) 1/2,c) V = (6T/GM) 1/2,d) V = (3GT/2M) 1/2,b,"Explanation: Heat transfer by conduction in gases occurs through transport of the kinetic energy of molecular motion resulting from the random movement and collisions of the molecules.Where, G = Universal gas constantM = Molecular weight of the gasT = Absolute temperature."
Question 39,2. Low temperature insulation are used when the enclosure is at a temperature lower than the ambient temperature. Which one of the following is not a low temperature insulation?,a) Asbestos,b) Cork,c) Cattle hair,d) Slag wool,a,Explanation: Asbestos is a high temperature insulation which is used when it is desired to prevent an enclosure at a temperature higher than the ambient from losing heat to its surroundings. 
Question 40,3. The value of Lorenz number in 10-8 W ohms/K2 is,a) 2.02,b) 2.35,c) 2.56,d) 2.45,d,Explanation: Lorenz no. = k/_ T
Question 41,"4. For liquids, thermal conductivity is governed by the relation",a) k = A c p p7/3/M1/3,b) k = 2A c p p4/3/M2/3,c) k = A c p p4/3/M1/3,d) k = A c p p8/3/M1/3,c,"Explanation: Area doesn’t depends on the nature of liquid but on the quantity (Ac p) is nearly constant for all liquids. Where,CP = Specific heat at constant pressureM = Molecular weight of the gasp = Mass densityA = Area."
Question 42,5. Consider the following parameters,(i) Composition,(ii) Density,(iii) Porosity,(iv) Structure,b,Explanation: There is a variation due to all the above options. 
Question 43,6. The thermal conductivity and the electrical conductivity of a metal at absolute temperature are related as,a) k/_ T,b) k/_,c) k _/T,d) k/T,a,Explanation: It is defined as the ratio of thermal conductivity to the product of electrical conductivity and temperature.
Question 44,7. The relation _2 t =0 is referred to as,a) Poisson’s equation,b) Fourier heat conduction equation,c) Solution for transient conduction,d) Laplace equation,d,"Explanation: In the absence of internal heat generation or release of energy within the body, equation reduces to Laplace equation. "
Question 45,8. The unit of thermal diffusivity is,a) m2/hr-K,b) kcal/m2-hr,c) m2/hr,d) m/hr-K,c,Explanation: The quantity _ = k/pc is called thermal diffusivity. 
Question 46,10. The diffusion equations,_2t + q g = (1/_) (d t/d r),Governs the temperature distribution under unsteady heat flow through a homogeneous and isotropic material. The Fourier equation follows from this expression when,a) Temperature doesn’t depends on time,b) There is no internal heat generation,d,"Explanation: In unsteady state condition, there is no internal heat generation. "
Question 47,1. What is the thermal conductivity of asphalt in W/m K?,a) 0.064,b) 0.063,c) 0.062,d) 0.061,c,"Explanation: Asphalt concrete has three main structural elements i.e. aggregates, binder and the contact layer between them. It is soft at high temperatures but brittle at low temperatures."
Question 48,2. Which one is having the highest thermal conductivity?,a) Silver,b) Copper,c) Glass,d) Earth,a,"Explanation: Thermal conductivity of silver is 410 W/m degree while that of copper, glass and earth are 385 W/m degree, 0.75 W/m degree and 0.138 respectively. "
Question 49,3. What is the thermal conductivity of magnetite in W/m K?,a) 3.7,b) 3.8,c) 3.9,d) 4.0,b,Explanation: This is having low thermal conductivity because of high intramolecular interactions between their outer edge molecules.
Question 50,4. Which one is having the lowest thermal conductivity?,a) Furnace,b) Wool,c) Saw dust,d) Glass wool,d,"Explanation: Thermal conductivity of glass wool is 0.03 W/m degree while that of a furnace, wool and saw dust are 0.30 W/m degree, 0.052 W/m degree and 0.07 respectively. "
Question 51,5. What is the thermal conductivity of coal in W/m K?,a) 0.25,b) 0.26,c) 0.27,d) 0.28,b,"Explanation: Coal is composed primarily of carbon along with variable quantities of other elements such as hydrogen, sulfur, oxygen and nitrogen."
Question 52,6. What is the thermal conductivity of cotton in W/m K?,a) 0.03,b) 0.04,c) 0.05,d) 0.06,d,"Explanation: It is a soft material that grows in a protective capsule, around the seeds of cotton plants. "
Question 53,7. Which one is having the highest thermal conductivity?,a) Brass,b) Aluminum,c) Cast iron,d) Steel,b,"Explanation: Thermal conductivity of aluminum is 225 W/m degree while that of brass, cast iron and steel are 107 W/m degree, 55 W/m degree and 20 respectively. "
Question 54,8. What is the thermal conductivity of apple in W/m K?,a) 0.513,b) 0.613,c) 0.713,d) 0.813,a,Explanation: It is a sweet fruit that has very low thermal conductivity in order to prevent it from damage. 
Question 55,9. What is the thermal conductivity of ice in W/m K?,a) 1.55,b) 1.66,c) 1.77,d) 1.88,d,Explanation: Frozen water in the form of an ordinary household ice cube. The white zone in the center is the result of tiny air bubbles. 
Question 56,10. Which one is having the lowest thermal conductivity?,a) Ash,b) Ice,c) Freon,d) Water,c,"Explanation: Thermal conductivity of freon is 0.0083 W/m degree while that of ash, ice and water are 0.12 W/m degree, 2.25 W/m degree and 0.55 respectively. "
Question 57,1. In Cartesian coordinates the heat conduction equation is given by,a) d2t/dx2 + d2t/dy2 + d2t/dz2 + q g = (1/_) (d t/d T),b) 2d2t/dx2 + d2t/dy2 + d2t/dz2 + 34q g = (d t/d T),c) d2t/dx2 + 3d2t/dy2 + d2t/dz2 = (1/_) (d t/d T),d) 4d2t/dx2 + d2t/dy2 + d2t/dz2 + 1/2q g = (1/_) (d t/d T),a,"Explanation: This is one dimensional heat conduction through a homogenous, isotropic wall with constant thermal conductivity. "
Question 58,2. The temperature distribution in a large thin plate with uniform surface temperature will be,(Assume steady state condition),a) Logarithmic,b) Hyperbolic,c) Parabolic,d,Explanation: The temperature increases with increasing value of x. Temperature gradient will be positive i.e. linear. 
Question 59,"3. Let us assume two walls of same thickness and cross-sectional area having thermal conductivities in the ratio 1/2. Let us say there is same temperature difference across the wall faces, the ratio of heat flow will be",a) 1,b) 1/2,c) 2,d) 4,b,"Explanation: Q1 = k1 A1 d t1/_1 and Q2 = k2A2 d t2/_    2Now, _1 = _2 and A1 = A2 and d t1 = d t2So, Q1/Q2 = _."
Question 60,"4. The interior of an oven is maintained at a temperature of 850 degree Celsius by means of a suitable control apparatus. The oven walls are 500 mm thick and are fabricated from a material of thermal conductivity 0.3 W/m degree. For an outside wall temperature of 250 degree Celsius, workout the resistance to heat flow",a) 0.667 degree/W,b) 1.667 degree/W,c) 2.667 degree/W,d) 3.667 degree/W,b,Explanation: R t = 0.5/0.3 = 1.667 degree/W. 
Question 61,5. A plane slab of thickness 60 cm is made of a material of thermal conductivity k = 17.45 W/m K. Let us assume that one side of the slab absorbs a net amount of radiant energy at the rate q = 530.5 watt/m2. If the other face of the slab is at a constant temperature t2 = 38 degree Celsius. Comment on the temperature with respect to the slab?,a) 87.5 degree Celsius,b) 32 degree Celsius,c) 47.08 degree Celsius,d) 32.87 degree Celsius,c,"Explanation: Heat flux, q = k (t s – t f) / Thickness. So, t s = 56.17 degree Celsius. Now, t = t s + (t f – t s) x/Thickness. "
Question 62,6. The rate of heat transfer for a plane wall of homogenous material with constant thermal conductivity is given by,a) Q = kA (t1-t2)/_,b) Q = 2kAx/ _,c) Q = 2kA_x,d) Q = 2k/_ x,a,Explanation: Computations for heat flow can be made by substituting the value of temperature gradient into the general equation. The heat flow somehow doesn’t depend on x. 
Question 63,"7. In case of homogeneous plane wall, there is a linear temperature distribution given by",a) t = t1 + (t2-t1) _/x,b) t = t2 – (t2-t1) x/ _,c) t = t1 + (t2-t1) x,d) t = t1 + (t2-t1) x/ _,d,Explanation: The expression for steady state temperature distribution can be set up by integrating the Fourier rate equation. 
Question 64,8. The rate of convective heat transfer between a solid boundary and adjacent fluid is given by,a) Q = h A (t s – t f),b) Q = h A,c) Q = (t s – t f),d) Q = h (t s – t f),a,"Explanation: Here, h is heat transfer coefficient i.e. convective. "
Question 65,9. A homogeneous wall of area A and thickness _ has left and right hand surface temperatures of 0 degree Celsius and 40 degree Celsius. Determine the temperature at the center of the wall,a) 10 degree Celsius,b) 20 degree Celsius,c) 30 degree Celsius,d) 40 degree Celsius,b,"Explanation: At the midpoint x = _/2. So, temperature = 40 + (0 – 40)/2 = 20 degree Celsius. "
Question 66,"10. A rod of 3 cm diameter and 20 cm length is maintained at 100 degree Celsius at one end and 10 degree Celsius at the other end. These temperature conditions are attained when there is heat flow rate of 6 W. If cylindrical surface of the rod is completely insulated, determine the thermal conductivity of the rod material",a) 21.87 W/m degree,b) 20.87 W/m degree,c) 19.87 W/m degree,d) 18.87 W/m degree,d,Explanation: Q = k A C (t 1 – t 2)/_ = 0.318 k. 
Question 67,1. A composite wall generally consists of,a) One homogenous layer,b) Multiple heterogeneous layers,c) One heterogeneous layer,d) Multiple homogenous layers,b,Explanation: Walls of houses where bricks are given a layer of plaster on either side. 
Question 68,"2. Three metal walls of the same thickness and cross sectional area have thermal conductivities k, 2k and 3k respectively. The temperature drop across the walls (for same heat transfer) will be in the ratio",a) 3:2:1,b) 1:1:1,c) 1:2:3,d) Given data is insufficient,a,"Explanation: As, _1 = _2 = _3 and cross sectional areas are same i.e. temperature drop varies inversely with thermal conductivity. "
Question 69,3. A composite wall is made of two layers of thickness _1 and _2 having thermal conductivities k and 2k and equal surface area normal to the direction of heat flow. The outer surface of composite wall are at 100 degree Celsius and 200 degree Celsius. The minimum surface temperature at the junction is 150 degree Celsius. What will be the ratio of wall thickness?,a) 1:1,b) 2:1,c) 1:2,d) 2:3,c,Explanation: Q = k 1 A 1 d t 1 / _1 = k 2 A 2 d t 2 / _2 Also areas are same. 
Question 70,4. Let us say thermal conductivity of a wall is governed by the relation k = k0 (1  + _ t). In that case the temperature at the mid-plane of the heat conducting wall would be,a) Av. of the temperature at the wall faces,b) More than average of the temperature at the wall faces,c) Less than average of the temperature at the wall faces,d) Depends upon the temperature difference between the wall faces,b,Explanation: k0 is thermal conductivity at 0 degree Celsius. Here _ is positive so it is more than average of the temperature at the wall faces.
Question 71,"5. Heat is transferred from a hot fluid to a cold one through a plane wall of thickness (_), surface area (A) and thermal conductivity (k). The thermal resistance is",a) 1/A (1/h1 + _/k + 1/h2),b) A (1/h1 + _/k + 1/h2),c) 1/A (h1 + _/k + h2),d) A (1/h1 + _/k + 1/h2),a,Explanation: Net thermal resistance will be summation of resistance through plane wall and from left side and right side of the wall. 
Question 72,7. A pipe carrying steam at 215.75 degree Celsius enters a room and some heat is gained by surrounding at 27.95 degree Celsius. The major effect of heat loss to surroundings will be due to,a) Conduction,b) Convection,c) Radiation,d) Both conduction and convection,c,Explanation: As there is temperature difference so radiation suits well. 
