Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question 1,1. Which manufacturing process includes the powder metallurgy?,a) casting,b) forming and shaping,c) machining,d) joining,b,Explanation: Forming and shaping process includes powder metallurgy. Powder metallurgy is a process in which material or shapes are made from or by using metal powders.
Question 2,2. Which of the following is not included in forming and shaping process?,a) rolling,b) forging,c) sheet forming,d) broaching,d,"Explanation: Only rolling, forging and sheet forming are included in forming and shaping process. Broaching is included in fabrication process. "
Question 3,3. Expendable mold and permanent mold are the parts of ____  manufacturing process.,a) machining,b) casting,c) none of the mentioned,d) joining,b,"Explanation: In casting, we prepare a mould in which we pour liquid metal. Then we solidify the metal and make the product of desired shape with the help of pattern."
Question 4,6. Which of the following is included in machining process?,a) extrusion,b) soldering,c) drilling,d) coating,c,"Explanation: Drilling is included in machining process. For drilling, the drill is rotated with a downward pressure causing the tool to penetrate into the material."
Question 5,7. Which of the following processes are included in finishing?,a) honing and welding,b) polishing and lapping,c) coating and milling,d) molding and plating,b,"Explanation: Coating and plating are included in finishing .Welding is included in joining, molding is included in casting                             and milling is included in machining. Rest all( mentioned ) are included in finishing process."
Question 6,9. Which of the following is not the type of finishing process?,a) diffusion bonding,b) burnishing,c) both diffusion bonding and burnishing,d) none of the mentioned,a,Explanation: Only burnishing is an example of finishing process. Diffusion type bonding is included in the of process of joining.
Question 7,10. Which of the following is not the type of joining process?,a) adhesive bonding,b) brazing,c) soldering,d) none of the mentioned,d,"Explanation: Adhesive bonding, brazing and soldering all are thetypes of joining process. In adhesive bonding, adhesive are used to manufacture an assembly. Brazing and soldering are also the type of manufacturing process."
Question 8,11. Which of the following is the type of permanent joining process?,a) welding,b) soldering,c) both welding and soldering,d) none of the mentioned,c,"Explanation: In welding and soldering, once the join has made, we   have to break the joint to get different part. So, both welding and soldering are known as permanent joining process."
Question 9,12. Which of the following is the type of temporary joining process?,a) brazing,b) mechanical joining,c) both brazing and mechanical joining,d) none of the mentioned,b,Explanation: Brazing is the one type of permanent joining process and mechanical joining is the one type of temporary joining process because we can remove the joint with the help of equipments like some type of bolts and so on. Breaking of joint is not necessary in this case.
Question 10,"13. In ____type of manufacturing process, material is wasted. It is in the form of chips.",a) machining process,b) casting process,c) joining process,d) forming and shaping process,a,"Explanation: In machining process, some raw material is wasted in or in order to perform different operations like drilling, turning etc."
