Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question 1,1. The ratio of a mass concentration of species A to the total mass density of the mixture is known as,a) Mass density,b) Concentration,c) Mole fraction,d) Mass fraction,d,Explanation: It is defined as p a/p. 
Question 2,"2. For a binary mixture of species A and B, the mass average velocity is defined as",a) 2 pa Va + pb Vb/ p,b) pa Va + pb Vb/ p,c) pa Va + 2 pb Vb/ p,d) pa Va + pb Vb/ 2 p,b,Explanation: pa Va + pb Vb/ pa + pb = pa Va + pb Vb/ p. 
Question 3,3. The ratio of number of moles of species A to the total number of moles of the mixture is known as,a) Mole fraction,b) Mass fraction,c) Partial pressure,d) Mass density,a,Explanation: It is defined as na/n. 
Question 4,"4. A binary mixture of oxygen and nitrogen with partial pressures in the ratio 0.21 and 0.79 is contained in a vessel at 300 K. If the total pressure of the mixture is 1 * 10 5 N/m2, find molar concentration of oxygen",a) 8.42 * 10-1 kg mol/m3,b) 8.42 * 10-2 kg mol/m3,c) 8.42 * 10-3 kg mol/m3,d) 8.42 * 10-4 kg mol/m3,c,Explanation: 0.21 * 10 5/8341 * 300 = 8.42 * 10 -3 kg mol/m3. 
Question 5,"5. For a binary mixture of species A and B, the molar average velocity is defined as",a) n a V a + n b V b,b) n a V a + n b V b/n,c) n a V a + n b V b/2 n,d) n a V a + 2 n b V b/n,b,Explanation: n A V A + n B V B/n A + n B = n A V A + n B V B/n. 
Question 6,"7. A binary mixture of oxygen and nitrogen with partial pressures in the ratio 0.21 and 0.79 is contained in a vessel at 300 K. If the total pressure of the mixture is 1 * 10 5 N/m2, find overall mass density",a) 4.156 kg/m3,b) 3.156 kg/m3,c) 2.156 kg/m3,d) 1.156 kg/m3,d,Explanation: For oxygen = 0.269 kg/m3 and for nitrogen = 0.887 kg/m3. 
Question 7,"8. A binary mixture of oxygen and nitrogen with partial pressures in the ratio 0.21 and 0.79 is contained in a vessel at 300 K. If the total pressure of the mixture is 1 * 10 5 N/m2, find molar fraction of nitrogen",a) 0.79,b) 0.21,c) 0.23,d) 0.13,a,Explanation: Molar fraction is equal to the partial pressure. 
Question 8,"9. A binary mixture of oxygen and nitrogen with partial pressures in the ratio 0.21 and 0.79 is contained in a vessel at 300 K. If the total pressure of the mixture is 1 * 10 5 N/m2, find mass fraction of oxygen",a) 0.133,b) 0.233,c) 0.333,d) 0.433,b,Explanation: 0.269/1.156 = 0.233. 
Question 9,"10. A binary mixture of oxygen and nitrogen with partial pressures in the ratio 0.21 and 0.79 is contained in a vessel at 300 K. If the total pressure of the mixture is 1 * 10 5 N/m2, find the average molecular weight of the mixture",a) 28.84,b) 29.84,c) 30.84,d) 31.84,a,Explanation: (0.21) (32) + (0.79) (28) = 28.84. 
Question 10,1. In which of the following conditions mass transfer will occur spontaneously? C and z is concentration and distance respectively.,a) dC/dz>0,b) dC/dz<0,c) dC/dz=0,d) None of the Mentioned,b,Explanation: Mass transfer occurs in the direction of decreasing concentration.
Question 11,2. Which among the following is always true for mass transfer to occur?,a) Difference in concentration,b) Difference in Pressure,c) Difference in temperature,d) Difference in chemical potential,d,"Explanation: Mass transfer occurs to attain an equilibrium position or to minimize the energy of the system. Mass occur can occur even if there is no difference in concentration, pressure and temperature. Example: – A ball rolls down a slope to minimize its potential energy."
Question 12,"3. A solution contains 0.3 moles of solute A, 0.2 moles of B and 0.5 moles of C. What will be the mole fraction of A in the mixture?",a) 0.3,b) 0.2,c) 0.5,d) 1,a,Explanation: Mole Fraction of A= Moles of A/Total moles
Question 13,4. What is the value of molar average velocity (m/s) of the mixture?,a) 0.036,b) 0.035,c) 0.034,d) 0.033,a,"Explanation: Molar average velocity= (C1u1+C2u2+……….)/C                                   =y1u1+y2u2…..                                   = 0.21*0.04+0.79*0.035                                   =0.036."
Question 14,5. What will be the value of mass average velocity (m/s)?,a) 0.981,b) 0.891,c) 0.985,d) 0.857,a,"Explanation: Mass average velocity= (_1u1+_2u2)/ _                 _1= (p1*M1)/RT                   _= (p*M)/RT.                 Dividing these two equations              _1/ _ = (p1*M1)/pM =(y1*M1)/M              M=y1*M1+y2*M2=0.79*28+0.21*32=28.84              Mass average velocity= (y1*M1*u1+y2*M2*u2)/M                                   = (0.21*32*0.04+0.79*0.035)/28.84                                   = 0.981."
Question 15,6. What is the value of Volume average velocity?,a) 0.036,b) 0.035,c) 0.034,d) 0.033,a,Explanation: Volume average velocity= Molar average velocity.
Question 16,"7. In a gas mixture if molecular weights of all the species are equal than which one will be more, Mass average velocity or Molar average velocity?",a) Mass average velocity,b) Molar average velocity,c) Both will have the same value,d) Nothing definite can be said,c,"Explanation: Average molar mass of the mixture=M(x1+x2+………+ xn)=M                                                                                             (x1+x2+………+ xn=1)                        Mass average velocity=_ui_i/_=uiPui/P                        Molar average velocity=_ciui/c=_uiPi/P (P=cRT)."
Question 17,9. Calculate the value of mass average velocity in the previous question?,"a) (0.0235, 0.0764, 0.00007)","b) (0.021, 0.078, 0.01)","c) (0.1, 0.1 0.1)","d) (0.079, 0.021, 0.01)",a,Explanation: (y1*M1*u1+y2*M2*u2)/M.
