Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question 1,1. Non Condensing steam turbine can also be called as _________,a) Extraction steam turbine,b) Back pressure steam turbine,c) Impulse steam turbine,d) None of the mentioned,b,Explanation: The other name for Non condensing turbines is back pressure turbines.
Question 2,2. Condensing turbine is used for __________,a) central power generation,b) to reduce outlet  temperature,c) to increase efficiency of steam,d) none of the mentioned,a,Explanation: Reducing outlet temperatures and increasing efficiency of the steam are required for every turbine irrespective of its use. So condensing turbines are used for central power generation.
Question 3,3. Steam turbine is classified on basis of __________,a) type of blades,b) exhausting condition,c) type of Steam flow,d) all of the mentioned,d,"Explanation: Steam turbines are classified by type of blades, exhausting condition, type of steam flow, division of steam flow, type of compounding."
Question 4,4. High pressure turbine is a Non-Condensing turbine due to __________,a) exhaust conditions,b) axial flow of the steam,c) pressure-velocity compounding,d) velocity compounding,a,Explanation: For high pressure turbines exhaust conditions are controlled by regulating valve which makes them to come under the category of Non-Condensing turbines.
Question 5,5. Impulse blades are in the shape of  __________,a) Rain drop,b) Circular,c) Half moon,d) None of the mentioned,c,Explanation: Blades used in impulse turbines are half moon shaped because as steam enters the moving blade it pushes the blade forward.
Question 6,6. Astern turbines are used in _________,a) power generation,b) marine purposes,c) aircraft,d) none of the mentioned,b,Explanation: Astern turbines are those classified based on exhaust conditions and are used for marine purposes.
Question 7,7. In condensing turbines vacuum is obtained by ____________,a) sudden pressure drop,b) removal of non condensable gases,c) sudden drop in pressure  and by removal of non condensable gases,d) none of the mentioned,c,Explanation: Due to sudden drop in pressure vacuum appears and the remaining non condensable gases are removed from the steam in order to maintain  the vacuum.
Question 8,8. Cross compound steam turbines are once used in _____________,a) generation of electricity,b) marine ships,c) automobiles,d) none of the mentioned,b,Explanation: Cross compound turbines are once used in marine ships before two stroke diesel engines.
Question 9,9. When steam reaches turbine blades the type of force responsible for moving turbine blades are _____________,a) Axial force,b) Shear force,c) Longitudinal force,d) None of the mentioned,a,Explanation: Axial  force  pushes the turbine blade forward  and causes movement in turbine blade.
Question 10,2. Based on type of flow arrangements gas turbines are classified into _____________,a) None of the mentioned,b) Impulse-reaction gas turbine,c) Open cycle gas turbine,d) Axial flow gas turbine,d,"Explanation: Based on type of flow, Gas turbines are divided into two types. They areAxial flow gas turbines, radial flow gas turbines."
