Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question 1,1. Which of the following is a disadvantage of renewable energy?,a) High pollution,b) Available only in few places,c) High running cost,d) Unreliable supply,d,Explanation: Renewable energy often relies on the weather for its sources of power. Hydro generators need rain to fill dams and thereby provide electricity. Wind turbines need wind to turn the blades. Solar collectors need clear skies and sunshine.
Question 2,2. A Solar cell is an electrical device that converts the energy of light directly into electricity by the ____________,a) Photovoltaic effect,b) Chemical effect,c) Atmospheric effect,d) Physical effect,a,Explanation: The photovoltaic effect was first discovered in 1839 by Edmond Becquerel. The hotovoltaic effect is a process that generates voltage or electric current in a photovoltaic cell when it is exposed to sunlight.
Question 3,"4. In hydroelectric power, what is necessary for the production of power throughout the year?",a) Dams filled with water,b) High amount of air,c) High intense sunlight,d) Nuclear power,a,"Explanation: Dams are used for power generation. The reservoir water is stored at a higher level than the turbines, which are housed in a power station.  The dam feed water directly to the turbines in the power station."
Question 4,5. The main composition of biogas is _______________,a) Methane,b) Carbon dioxide,c) Nitrogen,d) Hydrogen,a,"Explanation: Biogas is one of the types of bio fuel that is produced from the decomposition of organic waste. Biogas is known as the environmentally-friendly energy source since it is converting organic waste into energy. The composition of biogas is as follows: – Methane 50-75%, Carbon dioxide 25-50%, Nitrogen 0-10%, Hydrogen 0-1%."
Question 5,"6. Which Ministry is mainly responsible for research and development in renewable energy sources such as wind power, small hydro, biogas and solar power?",a) Human Resource Development,b) Agriculture and Farmers Welfare,c) Ministry of New and Renewable Energy,d) Health and Family Welfare,c,"Explanation: Ministry of New and Renewable Energy is a ministry of the Government of India. The ministry is working to develop renewable energy for supplementing the energy requirements of India. It is headquartered in Lodhi Road, New Delhi."
Question 6,7. Which among the following have a large amount of installed grid interactive renewable power capacity in India?,a) Wind power,b) Solar power,c) Biomass power,d) Small Hydro power,a,"Explanation: Wind power having capacity 29000 MW holds 56.8%, Solar power having capacity 9500 MW holds  18.5%, Biomass power having capacity 8200 MW holds 16%, Small Hydro power having capacity 4400 MW holds 8.5%."
Question 7,8. The world’s first 100% solar powered airport located at ____________,"a) Cochin, Kerala","b) Bengaluru, Karnataka","c) Chennai, Tamil Nadu","d) Mumbai, Maharashtra",a,"Explanation: Cochin International airport, the fourth-largest airport in India in terms of international traffic, now runs entirely on solar power. Cochin International Airport became the world’s first fully solar powered airport on 18 August 2015."
Question 8,9. Which of the following is not under the Ministry of New and Renewable Energy?,a) Wind energy,b) Solar energy,c) Tidal energy,d) Large hydro,d,Explanation: According to a recent survey large hydro installed capacity was 44.41 GW. The large hydro is administered separately by the Ministry of Power and not included in Ministry of New and Renewable Energy.
Question 9,10. Where is the largest Wind Farm located in India?,"a) Jaisalmer Wind Park, Rajasthan","b) Muppandal Wind Farm, Tamil Nadu","c) Vaspet Wind Farm, Maharashtra","d) Chakala Wind Farm, Maharashtra",b,Explanation: Muppandal Wind Farm produces 1500 MW of current capacity. Muppandal Wind Farm is the second largest onshore wind farm in the world. This Wind Farm supplies power to many regions in Tamil Nadu.
Question 10,12.  Which Indian enterprise has the Motto “ENERGY FOREVER”?,a) Indian Renewable Energy Development Agency,b) Indian Non-Renewable Energy Development,c) Indian Agricultural Development,d) Indian Biotechnology Development,a,"Explanation: Indian Renewable Energy Development Agency established in 1987 as Non-Banking Financial Institution. It is engaged in promoting, developing and extending financial assistance for setting up projects which are relating to new and renewable sources of energy."
Question 11,2. Which of the below theory is related to non-renewable resources?,a) Game Theory,b) Phlogiston Theory,c) Big Bang Theory,d) Hotelling’s Theory,d,Explanation: This theory is proposed by Harold Hotelling. This theory states that owners of non-renewable resources will only produce a supply of their product if it will yield more value when compared to other financial instruments available to them on market like bonds and interest bearing securities.
